t1,ch1,t2,ch2
-149.994,3.8822202301025395,-149.993999875,0.0
-149.794008,3.8921738433837896,-149.79400787499998,0.004981842041015625
-149.594016,3.8871970367431645,-149.594015875,0.0
-149.394024,3.8871970367431645,-149.394023875,-0.004981842041015625
-149.194032,3.8822202301025395,-149.19403187499998,-0.004981842041015625
-148.99404,3.8822202301025395,-148.994039875,0.00996368408203125
-148.794048,3.8822202301025395,-148.794047875,-0.014945526123046875
-148.594056,3.8772434234619144,-148.59405587499998,0.0
-148.39406400000001,3.8722666168212894,-148.394063875,-0.00996368408203125
-148.194072,3.8722666168212894,-148.194071875,-0.014945526123046875
-147.99408,3.8772434234619144,-147.99407987499998,-0.004981842041015625
-147.79408800000002,3.857336196899414,-147.794087875,-0.004981842041015625
-147.594096,3.8473825836181645,-147.594095875,0.0
-147.394104,3.8324521636962894,-147.39410387499998,-0.004981842041015625
-147.194112,3.8274753570556643,-147.19411187499998,0.0
-146.99412,3.8075681304931646,-146.994119875,-0.00996368408203125
-146.794128,3.7876609039306643,-146.794127875,-0.004981842041015625
-146.594136,3.772730484008789,-146.59413587499998,-0.004981842041015625
-146.394144,3.7528232574462894,-146.394143875,0.0
-146.194152,3.732916030883789,-146.194151875,-0.004981842041015625
-145.99416,3.7229624176025395,-145.99415987499998,0.0
-145.794168,3.6931015777587892,-145.794167875,-0.004981842041015625
-145.594176,3.688124771118164,-145.594175875,0.0
-145.394184,3.6632407379150393,-145.39418387499998,-0.014945526123046875
-145.19419200000002,3.6532871246337892,-145.194191875,0.0
-144.9942,3.6284030914306644,-144.994199875,-0.014945526123046875
-144.794208,3.6284030914306644,-144.79420787499998,0.0
-144.594216,3.6184494781494143,-144.59421587499997,0.0
-144.394224,3.603519058227539,-144.394223875,-0.004981842041015625
-144.194232,3.5885886383056644,-144.19423187499999,-0.00996368408203125
-143.99424,3.5885886383056644,-143.99423987499998,-0.004981842041015625
-143.794248,3.5836118316650394,-143.794247875,0.0
-143.594256,3.5736582183837893,-143.594255875,0.004981842041015625
-143.394264,3.5736582183837893,-143.39426387499998,0.0
-143.194272,3.558727798461914,-143.194271875,0.004981842041015625
-142.99428,3.558727798461914,-142.994279875,-0.004981842041015625
-142.794288,3.5388205718994143,-142.79428787499998,-0.004981842041015625
-142.594296,3.5338437652587893,-142.594295875,-0.004981842041015625
-142.394304,3.5288669586181642,-142.394303875,-0.004981842041015625
-142.194312,3.523890151977539,-142.19431187499998,-0.00996368408203125
-141.99432000000002,3.518913345336914,-141.994319875,0.0
-141.794328,3.5139365386962895,-141.794327875,-0.004981842041015625
-141.594336,3.518913345336914,-141.59433587499998,0.004981842041015625
-141.394344,3.5139365386962895,-141.39434387499998,0.0
-141.194352,3.5139365386962895,-141.194351875,0.004981842041015625
-140.99436,3.5139365386962895,-140.994359875,0.004981842041015625
-140.794368,3.5089597320556645,-140.79436787499998,0.0
-140.594376,3.4990061187744144,-140.594375875,-0.004981842041015625
-140.394384,3.5039829254150394,-140.394383875,-0.004981842041015625
-140.194392,3.5039829254150394,-140.19439187499998,0.0
-139.9944,3.5039829254150394,-139.994399875,-0.00996368408203125
-139.794408,3.4990061187744144,-139.794407875,-0.004981842041015625
-139.594416,3.5089597320556645,-139.59441587499998,-0.004981842041015625
-139.39442400000001,3.4990061187744144,-139.394423875,0.0
-139.194432,3.4940293121337893,-139.194431875,0.0
-138.99444,3.4890525054931643,-138.99443987499998,0.0
-138.794448,3.4940293121337893,-138.79444787499997,-0.004981842041015625
-138.594456,3.484075698852539,-138.594455875,-0.004981842041015625
-138.394464,3.4940293121337893,-138.39446387499999,0.0
-138.194472,3.484075698852539,-138.19447187499998,-0.004981842041015625
-137.99448,3.484075698852539,-137.994479875,-0.004981842041015625
-137.794488,3.4940293121337893,-137.794487875,0.0
-137.594496,3.484075698852539,-137.59449587499998,0.004981842041015625
-137.394504,3.479098892211914,-137.394503875,-0.004981842041015625
-137.194512,3.4890525054931643,-137.194511875,0.0
-136.99452,3.484075698852539,-136.99451987499998,-0.004981842041015625
-136.794528,3.4940293121337893,-136.794527875,0.004981842041015625
-136.594536,3.479098892211914,-136.594535875,-0.004981842041015625
-136.394544,3.4890525054931643,-136.39454387499998,0.004981842041015625
-136.19455200000002,3.4691452789306645,-136.194551875,-0.014945526123046875
-135.99456,3.4890525054931643,-135.994559875,0.0
-135.794568,3.484075698852539,-135.79456787499998,0.0
-135.594576,3.4741220855712895,-135.59457587499998,0.004981842041015625
-135.394584,3.4890525054931643,-135.394583875,0.0
-135.194592,3.484075698852539,-135.194591875,0.004981842041015625
-134.9946,3.4741220855712895,-134.99459987499998,-0.004981842041015625
-134.794608,3.4691452789306645,-134.794607875,-0.004981842041015625
-134.594616,3.479098892211914,-134.594615875,0.004981842041015625
-134.394624,3.479098892211914,-134.39462387499998,0.0
-134.194632,3.4741220855712895,-134.194631875,0.0
-133.99464,3.4641684722900394,-133.994639875,-0.004981842041015625
-133.794648,3.4691452789306645,-133.79464787499998,0.0
-133.59465600000001,3.4641684722900394,-133.594655875,-0.00996368408203125
-133.394664,3.4641684722900394,-133.394663875,-0.004981842041015625
-133.194672,3.479098892211914,-133.19467187499998,0.0
-132.99468,3.4641684722900394,-132.99467987499997,-0.004981842041015625
-132.794688,3.4691452789306645,-132.794687875,-0.00996368408203125
-132.594696,3.4641684722900394,-132.59469587499999,-0.00996368408203125
-132.394704,3.4591916656494144,-132.39470387499998,-0.00996368408203125
-132.194712,3.4641684722900394,-132.194711875,-0.004981842041015625
